twitch_id,days,mature,views,partner,id,broadcaster_type,login,display_name,created_at,new_view_count,view_growth,last_game_id,last_game_name,,
46848111,1900,FALSE,10267,FALSE,3532,affiliate,zytan94,Zytan94,2013-07-30T16:50:42Z,10464,197,394568,RimWorld,,
35955544,2229,TRUE,182054,FALSE,2904,affiliate,zyrot,Zyrot,2012-09-04T15:11:29Z,254874,72820,32982,Grand Theft Auto V,,
119813821,929,FALSE,2532,FALSE,8018,affiliate,zyrazz1,zyrazz1,2016-03-26T10:33:16Z,3336,804,512710,Call of Duty: Warzone,,
57105457,1695,TRUE,13133,FALSE,4063,affiliate,zyradosplays,ZyradosPlays,2014-02-18T18:16:11Z,59362,46229,518873,Warhammer 40,000: Darktide,
146909837,615,TRUE,11483,FALSE,6149,affiliate,zynexo,Zynexo,2017-02-04T16:46:01Z,19878,8395,1960341762,Coral Island,,
62658263,1611,FALSE,8472,FALSE,3308,affiliate,zylexk,ZylexK,2014-05-15T20:53:23Z,11542,3070,518184,Phasmophobia,,
22430124,2707,TRUE,35731,FALSE,242,affiliate,zwirni_,Zwirni_,2011-05-15T19:02:56Z,43234,7503,18122,World of Warcraft,,
120069521,925,TRUE,3645,FALSE,4262,affiliate,zwiebelmadwurst,zwiebelMADwurst,2016-03-28T13:27:52Z,22808,19163,512534,Tom Clancy's Ghost Recon: Breakpoint,,
58160720,1684,FALSE,51349,FALSE,3620,partner,zwergtube,ZwergTube,2014-03-03T20:24:02Z,239413,188064,514891,Timberborn,,
32595016,2264,TRUE,12339,FALSE,6018,affiliate,zwerg11880,Zwerg11880,2012-07-31T20:52:14Z,17371,5032,2065032847,Spirit of the Island,,
113043988,973,TRUE,361,FALSE,6075,affiliate,zwedox,zWedox,2016-01-17T12:53:51Z,2111,1750,1678052513,Call of Duty: Modern Warfare II,,
173826070,396,TRUE,3627,FALSE,4638,affiliate,zwangsneurotiker,ZwangsNeurotiker,2017-09-11T19:53:23Z,12334,8707,68016,Black Mesa,,
113220612,997,TRUE,1614,FALSE,4037,affiliate,zveable,zveable,2016-01-19T00:31:17Z,7598,5984,32959,Heroes of the Storm,,
123388854,892,TRUE,8465,FALSE,536,affiliate,zuskant0,zuskant0,2016-05-03T18:25:26Z,13579,5114,516575,VALORANT,,
121824765,910,TRUE,11450,FALSE,5463,affiliate,zur0th,zur0th,2016-04-15T10:37:10Z,11485,35,488552,,,
153225686,547,TRUE,24249,FALSE,1438,affiliate,zuniley_sun,zuniley_sun,2017-04-13T05:47:01Z,33950,9701,518692,Far Cry 6,,
100991884,1139,TRUE,3081,FALSE,508,affiliate,zunfix92,Zunfix92,2015-08-30T08:10:12Z,4398,1317,497304,Russian Fishing 4,,
219081330,96,TRUE,206,FALSE,6127,,zumrocalustv,ZumRocalusTV,2018-05-07T17:05:55Z,222,16,504462,Call of Duty: Black Ops 4,,
